Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group
"Vestiage, Inc. (OTCPK:VEST)",OTCPK:VEST,Advertising,Communication Services,7389,United States,United States
Xcyte Digital Corp. (TSXV:XCYT),TSXV:XCYT,Advertising,Communication Services,7311,United States,United States
808 Renewable Energy Corporation (OTCPK:RNWR),OTCPK:RNWR,Aerospace/Defense,Industrials,3721,United States,United States
AAR Corp. (NYSE:AIR),NYSE:AIR,Aerospace/Defense,Industrials,5080,United States,United States
"AeroVironment, Inc. (NasdaqGS:AVAV)",NasdaqGS:AVAV,Aerospace/Defense,Industrials,3721,United States,United States
AerSale Corporation (NasdaqCM:ASLE),NasdaqCM:ASLE,Aerospace/Defense,Industrials,5080,United States,United States
Air Industries Group (NYSEAM:AIRI),NYSEAM:AIRI,Aerospace/Defense,Industrials,3728,United States,United States
"Applied Energetics, Inc. (OTCPK:AERG)",OTCPK:AERG,Aerospace/Defense,Industrials,3600,United States,United States
Archer Aviation Inc. (NYSE:ACHR),NYSE:ACHR,Aerospace/Defense,Industrials,4522,United States,United States
"Astra Space, Inc. (NasdaqCM:ASTR)",NasdaqCM:ASTR,Aerospace/Defense,Industrials,8900,United States,United States
Astronics Corporation (NasdaqGS:ATRO),NasdaqGS:ATRO,Aerospace/Defense,Industrials,3640,United States,United States
"Axon Enterprise, Inc. (NasdaqGS:AXON)",NasdaqGS:AXON,Aerospace/Defense,Industrials,3480,United States,United States
"Bantec, Inc. (OTCPK:BANT)",OTCPK:BANT,Aerospace/Defense,Industrials,3760,United States,United States
Butler National Corporation (OTCPK:BUKS),OTCPK:BUKS,Aerospace/Defense,Industrials,8741,United States,United States
"BWX Technologies, Inc. (NYSE:BWXT)",NYSE:BWXT,Aerospace/Defense,Industrials,3500,United States,United States
Byrna Technologies Inc. (NasdaqCM:BYRN),NasdaqCM:BYRN,Aerospace/Defense,Industrials,3480,United States,United States
"Cadre Holdings, Inc. (NYSE:CDRE)",NYSE:CDRE,Aerospace/Defense,Industrials,3480,United States,United States
"CPI Aerostructures, Inc. (NYSEAM:CVU)",NYSEAM:CVU,Aerospace/Defense,Industrials,3728,United States,United States
Curtiss-Wright Corporation (NYSE:CW),NYSE:CW,Aerospace/Defense,Industrials,3728,United States,United States
Ducommun Incorporated (NYSE:DCO),NYSE:DCO,Aerospace/Defense,Industrials,3728,United States,United States
Environmental Tectonics Corporation (OTCPK:ETCC),OTCPK:ETCC,Aerospace/Defense,Industrials,3728,United States,United States
"Eve Holding, Inc. (NYSE:EVEX)",NYSE:EVEX,Aerospace/Defense,Industrials,3721,United States,United States
General Dynamics Corporation (NYSE:GD),NYSE:GD,Aerospace/Defense,Industrials,3721,United States,United States
Giga-tronics Incorporated (OTCPK:GIGA),OTCPK:GIGA,Aerospace/Defense,Industrials,3670,United States,United States
"Global Digital Solutions, Inc. (OTCPK:GDSI)",OTCPK:GDSI,Aerospace/Defense,Industrials,3790,United States,United States
Golden Star Enterprises Ltd. (OTCPK:GSPT),OTCPK:GSPT,Aerospace/Defense,Industrials,3721,United States,United States
HEICO Corporation (NYSE:HEI),NYSE:HEI,Aerospace/Defense,Industrials,3724,United States,United States
Hexcel Corporation (NYSE:HXL),NYSE:HXL,Aerospace/Defense,Industrials,2821,United States,United States
Howmet Aerospace Inc. (NYSE:HWM),NYSE:HWM,Aerospace/Defense,Industrials,3720,United States,United States
"Huntington Ingalls Industries, Inc. (NYSE:HII)",NYSE:HII,Aerospace/Defense,Industrials,3730,United States,United States
"Innovative Solutions and Support, Inc. (NasdaqGS:ISSC)",NasdaqGS:ISSC,Aerospace/Defense,Industrials,3575,United States,United States
"Intuitive Machines, Inc. (NasdaqGM:LUNR)",NasdaqGM:LUNR,Aerospace/Defense,Industrials,3760,United States,United States
"Kaiser Group Holdings, Inc. (OTCPK:KGHI)",OTCPK:KGHI,Aerospace/Defense,Industrials,1700,United States,United States
Kaman Corporation (NYSE:KAMN),NYSE:KAMN,Aerospace/Defense,Industrials,3720,United States,United States
"Kratos Defense & Security Solutions, Inc. (NasdaqGS:KTOS)",NasdaqGS:KTOS,Aerospace/Defense,Industrials,7370,United States,United States
"L3Harris Technologies, Inc. (NYSE:LHX)",NYSE:LHX,Aerospace/Defense,Industrials,3812,United States,United States
"Leonardo DRS, Inc. (NasdaqGS:DRS)",NasdaqGS:DRS,Aerospace/Defense,Industrials,3812,United States,United States
Lockheed Martin Corporation (NYSE:LMT),NYSE:LMT,Aerospace/Defense,Industrials,3760,United States,United States
"Mercury Systems, Inc. (NasdaqGS:MRCY)",NasdaqGS:MRCY,Aerospace/Defense,Industrials,3670,United States,United States
Momentus Inc. (NasdaqGS:MNTS),NasdaqGS:MNTS,Aerospace/Defense,Industrials,4700,United States,United States
Moog Inc. (NYSE:MOG.A),NYSE:MOG.A,Aerospace/Defense,Industrials,3728,United States,United States
"Mundus Group, Inc. (OTCPK:MNDP)",OTCPK:MNDP,Aerospace/Defense,Industrials,3720,United States,United States
"National Presto Industries, Inc. (NYSE:NPK)",NYSE:NPK,Aerospace/Defense,Industrials,3480,United States,United States
"Nightingale Intelligent Systems, Inc (ASX:NGL)",ASX:NGL,Aerospace/Defense,Industrials,3812,United States,United States
Northrop Grumman Corporation (NYSE:NOC),NYSE:NOC,Aerospace/Defense,Industrials,3812,United States,United States
"Optex Systems Holdings, Inc (NasdaqCM:OPXS)",NasdaqCM:OPXS,Aerospace/Defense,Industrials,3827,United States,United States
Park Aerospace Corp. (NYSE:PKE),NYSE:PKE,Aerospace/Defense,Industrials,3672,United States,United States
"PASSUR Aerospace, Inc. (OTCPK:PSSR)",OTCPK:PSSR,Aerospace/Defense,Industrials,7372,United States,United States
PMB Aerospace Corporation (OTCPK:PMBY),OTCPK:PMBY,Aerospace/Defense,Industrials,2860,United States,United States
Redwire Corporation (NYSE:RDW),NYSE:RDW,Aerospace/Defense,Industrials,3760,United States,United States
"Rocket Lab USA, Inc. (NasdaqCM:RKLB)",NasdaqCM:RKLB,Aerospace/Defense,Industrials,3760,United States,United States
RTX Corporation (NYSE:RTX),NYSE:RTX,Aerospace/Defense,Industrials,3724,United States,United States
"Safer Shot, Inc. (OTCPK:SAFS)",OTCPK:SAFS,Aerospace/Defense,Industrials,3480,United States,United States
Shanrong Biotechnology Corp. (OTCPK:SRBT),OTCPK:SRBT,Aerospace/Defense,Industrials,8700,United States,United States
"Sidus Space, Inc. (NasdaqCM:SIDU)",NasdaqCM:SIDU,Aerospace/Defense,Industrials,3760,United States,United States
"SIFCO Industries, Inc. (NYSEAM:SIF)",NYSEAM:SIF,Aerospace/Defense,Industrials,3724,United States,United States
"Spirit AeroSystems Holdings, Inc. (NYSE:SPR)",NYSE:SPR,Aerospace/Defense,Industrials,3728,United States,United States
"Stark Focus Group, Inc. (OTCPK:SKFG)",OTCPK:SKFG,Aerospace/Defense,Industrials,3812,United States,United States
Tel-Instrument Electronics Corp. (OTCPK:TIKK),OTCPK:TIKK,Aerospace/Defense,Industrials,3825,United States,United States
Terran Orbital Corporation (NYSE:LLAP),NYSE:LLAP,Aerospace/Defense,Industrials,3663,United States,United States
Textron Inc. (NYSE:TXT),NYSE:TXT,Aerospace/Defense,Industrials,3721,United States,United States
The Boeing Company (NYSE:BA),NYSE:BA,Aerospace/Defense,Industrials,3721,United States,United States
TransDigm Group Incorporated (NYSE:TDG),NYSE:TDG,Aerospace/Defense,Industrials,3728,United States,United States
"Triumph Group, Inc. (NYSE:TGI)",NYSE:TGI,Aerospace/Defense,Industrials,3728,United States,United States
UAV Corp. (OTCPK:UMAV),OTCPK:UMAV,Aerospace/Defense,Industrials,3721,United States,United States
"Umbra Applied Technologies Group, Inc. (OTCPK:UATG)",OTCPK:UATG,Aerospace/Defense,Industrials,4950,United States,United States
"Utilicraft Aerospace Industries, Inc. (OTCPK:UITA)",OTCPK:UITA,Aerospace/Defense,Industrials,3721,United States,United States
"V2X, Inc. (NYSE:VVX)",NYSE:VVX,Aerospace/Defense,Industrials,8744,United States,United States
"Virgin Galactic Holdings, Inc. (NYSE:SPCE)",NYSE:SPCE,Aerospace/Defense,Industrials,4700,United States,United States
